Temperature (deg F),Dew Point (deg F),Pressure (atm)
79,72.7,1
77.4,70.9,1
76.4,68.7,1
75.7,69,1
75.1,67.4,1
74.6,69,1
74.5,66.3,1
76,69.1,1
79.8,75.3,1
83.3,74.5,1
86.6,79.9,1
89.3,81.8,1
91.6,86.5,1
93.2,85.7,1
94.4,89.3,1
95,87.2,1
94.8,90.8,1
93.9,88,1
92.4,83.8,1
89.9,82.1,1
86.1,80.2,1
83.6,76.7,1
81.8,73.4,1
80,74.7,1
79.1,72.1,1
77.4,73.4,1
76.5,68,1
75.8,69.4,1
75.2,66.9,1
74.6,68,1
74.6,67.6,1
76.1,72,1
79.8,71.5,1
83.3,76,1
86.5,78.1,1
89.4,83.9,1
91.6,83.2,1
93.2,88.9,1
94.4,87.3,1
95,89,1
94.8,85.9,1
93.9,85,1
92.4,84.2,1
89.8,81.1,1
86.1,77.9,1
83.6,77.3,1
81.8,74.7,1
80.1,74.2,1
79.1,71.7,1
77.5,72.4,1
75.3,69.6,1
74.7,69.2,1
74.6,68.5,1
76.1,68.1,1
79.8,72.8,1
83.4,75.5,1
86.6,80.9,1
89.5,83.4,1
91.9,83.4,1
93.4,85.3,1
94.5,86.5,1
95.1,87.5,1
94.9,90,1
94.1,88.2,1
92.4,87.1,1
89.6,84.9,1
85.9,78.8,1
83.4,77.4,1
81.8,77.2,1
80.1,71.9,1
79.2,70.2,1
77.6,72.4,1
76.6,72.4,1
75.9,70.8,1
75.3,69,1
74.6,68.5,1
74.6,67.9,1
76,67.7,1
79.7,72.6,1
83.4,75.9,1
86.6,79.9,1
89.5,85,1
91.8,86.5,1
93.4,86.6,1
94.5,87.7,1
95.2,88.9,1
95,90.3,1
94.1,89.9,1
92.5,88.3,1
89.6,80.8,1
85.9,80.1,1
83.4,79.2,1
81.8,73.9,1
80,74,1
79.2,70.9,1
77.5,73.3,1
76.5,71.9,1
75.8,70.2,1
75.2,67.7,1
74.6,66.9,1
74.6,70.3,1
76,69.5,1
79.7,72.4,1
83.3,77.6,1
86.5,78.3,1
89.4,83.7,1
91.8,85.3,1
93.4,87.4,1
94.5,85.9,1
95.3,89.1,1
95,88.2,1
94.1,87.3,1
92.4,83.9,1
89.5,81.7,1
85.8,78.2,1
83.3,77.1,1
81.7,74.9,1
80,73.3,1
79.2,74.6,1
77.5,70.4,1
76.5,71.8,1
75.8,70.5,1
75.2,69.1,1
74.6,68.2,1
74.6,70.1,1
75.9,68.2,1
79.7,71.2,1
83.3,75,1
86.5,80.1,1
89.4,81.6,1
91.7,84,1
93.3,84.3,1
94.5,85.6,1
95.2,89.9,1
94.9,89.2,1
94.1,88.6,1
92.4,84.7,1
89.5,84.7,1
85.7,78,1
83.3,76.3,1
81.7,76.8,1
80,73.3,1
79.2,70.7,1
77.5,68.6,1
76.5,71.5,1
75.8,67.8,1
75.2,68.2,1
74.6,69.6,1
74.6,70.4,1
75.9,68.7,1
79.7,72.6,1
83.3,78,1
86.4,78.7,1
89.4,83.6,1
91.7,85.8,1
93.3,88.6,1
94.5,88.3,1
95.2,88.7,1
94.9,85.9,1
94.1,88.8,1
92.2,84.3,1
89.3,82.3,1
85.6,77.8,1
83.2,74.2,1
81.6,72.7,1
79.9,71.4,1
79.1,74.1,1
77.4,69.4,1
76.4,69.7,1
75.8,69.4,1
75.2,70,1
74.6,68.4,1
74.6,65.7,1
75.9,68.4,1
79.6,74.4,1
83.3,79,1
86.4,81.3,1
89.4,82.8,1
91.7,86,1
93.2,86.4,1
94.4,89.2,1
95.1,87.8,1
94.8,89.3,1
94.1,87.3,1
92.3,83.9,1
89.2,83.8,1
85.6,81.6,1
83.2,76.4,1
81.6,76.4,1
79.9,74,1
79.1,70.7,1
77.4,70.6,1
